t	func 0.0008 0.008
15.906666666666666	-0.20536572323145255 0.0008 0.008
15.940000000000001	-0.17899730180324966 0.0008 0.008
15.973333333333334	-0.14551557251000885 0.0008 0.008
16.006666666666668	-0.11252526685611383 0.0008 0.008
16.040000000000003	-0.07615080727564853 0.0008 0.008
16.073333333333334	-0.040791062545973644 0.0008 0.008
16.10666666666667	-0.004247233272477904 0.0008 0.008
16.14	0.03196007280461452 0.0008 0.008
16.173333333333336	0.06562374916109823 0.0008 0.008
16.206666666666667	0.09885271818651467 0.0008 0.008
16.240000000000002	0.12824744091789192 0.0008 0.008
16.273333333333333	0.1557664609833853 0.0008 0.008
16.30666666666667	0.17840299548682856 0.0008 0.008
16.34	0.19679649443825642 0.0008 0.008
16.373333333333335	0.20932858611656677 0.0008 0.008
16.406666666666663	0.21569831678472193 0.0008 0.008
16.44	0.2177232741992386 0.0008 0.008
16.473333333333336	0.21591185454310635 0.0008 0.008
16.506666666666664	0.2064185703673577 0.0008 0.008
16.54	0.1930248349550002 0.0008 0.008
16.573333333333334	0.1741009733958582 0.0008 0.008
16.606666666666673	0.15108817428985696 0.0008 0.008
16.64	0.12418191935273186 0.0008 0.008
16.673333333333336	0.09422648496517315 0.0008 0.008
16.706666666666663	0.06302270297527192 0.0008 0.008
16.74	0.027525629368070237 0.0008 0.008
16.773333333333337	-0.00894831251354177 0.0008 0.008
16.806666666666672	-0.04449542451002867 0.0008 0.008
16.84	-0.08092563704628342 0.0008 0.008
16.873333333333335	-0.11733715976671581 0.0008 0.008
16.906666666666663	-0.14874778427944582 0.0008 0.008
16.94	-0.17853141988890192 0.0008 0.008
16.973333333333336	-0.2077136155575804 0.0008 0.008
17.006666666666664	-0.23000843469212012 0.0008 0.008
17.04	-0.25000759936407124 0.0008 0.008
17.073333333333334	-0.2645521227455564 0.0008 0.008
17.106666666666673	-0.2749506549146302 0.0008 0.008
17.14	-0.2796759323551856 0.0008 0.008
17.173333333333336	-0.2785736930803361 0.0008 0.008
17.206666666666663	-0.272549921813253 0.0008 0.008
17.24	-0.25995305351359116 0.0008 0.008
17.273333333333337	-0.24563921365161157 0.0008 0.008
17.306666666666672	-0.22384865561247266 0.0008 0.008
17.34	-0.20125203505343725 0.0008 0.008
17.373333333333335	-0.17185060275878822 0.0008 0.008
17.406666666666663	-0.14118823658838045 0.0008 0.008
17.44	-0.10767861474778172 0.0008 0.008
17.473333333333336	-0.0715186905221822 0.0008 0.008
17.506666666666664	-0.03586144820520833 0.0008 0.008
17.54	4.2866414857533323E-4 0.0008 0.008
17.573333333333334	0.036414791854429494 0.0008 0.008
17.606666666666673	0.06967983573338248 0.0008 0.008
17.64	0.10168882911486772 0.0008 0.008
17.673333333333336	0.13112295348126238 0.0008 0.008
