t_{1}	amp 0.0008 0.008
17.274999999999995	0.21192906961186234 0.0008 0.008
17.308333333333326	0.20205625447692954 0.0008 0.008
17.34166666666667	0.19116473924662863 0.0008 0.008
17.374999999999996	0.17810284955316255 0.0008 0.008
17.40833333333333	0.1640277648176297 0.0008 0.008
17.441666666666666	0.14821109580958963 0.0008 0.008
17.474999999999998	0.1309619663948164 0.0008 0.008
17.508333333333333	0.11240176413451315 0.0008 0.008
17.54166666666666	0.09263429571825371 0.0008 0.008
17.575000000000003	0.07234340004682505 0.0008 0.008
17.60833333333333	0.05157601897476094 0.0008 0.008
17.641666666666662	0.029503262372714924 0.0008 0.008
17.674999999999997	0.007776301646711603 0.0008 0.008
